album_id,album_name,release_date
5AEDGbliTTfjOB8TSm1sxt,Speak Now (Taylor's Version),2023-07-07
1fnJ7k0bllNfL1kVdNVW1A,Midnights (The Til Dawn Edition),2023-05-26
3lS1y25WAhcqJDATJK70Mq,Midnights (3am Edition),2022-10-22
151w1FgRZfnKZA9FEcg9Z3,Midnights,2022-10-21
6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12
4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09
6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07
2Xoteh7uEpea4TohMxjtaq,evermore,2020-12-11
0PZ7lAru5FDFHuirTkWe9Z,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25
1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18
2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24
1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23
6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10
1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09
34OkZVpuzBa9y40DCy0LPR,1989 (Deluxe Edition),2014-10-27
2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27
1KlU96Hw9nlvqpBPlSqcTV,Red (Deluxe Edition),2012-10-22
1EoDsNmgTLtmwe1BDAVxV5,Red,2012-10-22
6fyR4wBPwLHKcRtxgd4sGh,Speak Now World Tour Live,2010-10-25
5EpMjweRD573ASl7uNiHym,Speak Now (Deluxe Edition),2010-10-25
5MfAxS5zz8MlfROjGQVXhy,Speak Now,2010-10-25
43OpbkiiIxJO8ktIB777Nn,Fearless Platinum Edition,2008-11-11
2dqn5yOQWdyGwOpOIi9O4x,Fearless,2008-11-11
1ycoesYxIFymXWebfmz828,Live From Clear Channel Stripped 2008,2008-06-28
7mzrIsaAjnXihW3InKjlC3,Taylor Swift,2006-10-24
